name,code,weight
face mask,FM-HKTV01,79
apple,A-HKTV02,69
banana,B-HKTV03,82
cabbage,C-HKTV04,61
dumpling,D-HKTV05,10
egg,E-HKTV06,37
fries,F-HKTV07,84
garlic,G-HKTV08,29
ham,H-HKTV09,48
ice cream,I-HKTV10,81
1,TEST-1,39
2,TEST-2,78
3,TEST-3,78
4,TEST-4,5
5,TEST-5,7
6,TEST-6,21
7,TEST-7,18
8,TEST-8,22
9,TEST-9,77
10,TEST-10,20
11,TEST-11,93
12,TEST-12,96
13,TEST-13,72
14,TEST-14,6
15,TEST-15,50
16,TEST-16,65
17,TEST-17,98
18,TEST-18,58
19,TEST-19,60
20,TEST-20,65
21,TEST-21,85
22,TEST-22,62
23,TEST-23,40
24,TEST-24,67
25,TEST-25,15
26,TEST-26,99
27,TEST-27,58
28,TEST-28,55
29,TEST-29,92
30,TEST-30,39
31,TEST-31,27
32,TEST-32,87
33,TEST-33,33
34,TEST-34,8
35,TEST-35,70
36,TEST-36,1
37,TEST-37,44
38,TEST-38,75
39,TEST-39,74
40,TEST-40,37
41,TEST-41,3
42,TEST-42,75
43,TEST-43,42
44,TEST-44,38
45,TEST-45,70
46,TEST-46,24
47,TEST-47,81
48,TEST-48,57
49,TEST-49,15
50,TEST-50,21
51,TEST-51,71
52,TEST-52,47
53,TEST-53,17
54,TEST-54,48
55,TEST-55,84
56,TEST-56,13
57,TEST-57,85
58,TEST-58,41
59,TEST-59,27
60,TEST-60,35
61,TEST-61,76
62,TEST-62,70
63,TEST-63,39
64,TEST-64,16
65,TEST-65,27
66,TEST-66,91
67,TEST-67,69
68,TEST-68,21
69,TEST-69,44
70,TEST-70,71
71,TEST-71,5
72,TEST-72,70
73,TEST-73,97
74,TEST-74,40
75,TEST-75,90
76,TEST-76,80
77,TEST-77,12
78,TEST-78,35
79,TEST-79,29
80,TEST-80,81
81,TEST-81,78
82,TEST-82,1
83,TEST-83,74
84,TEST-84,10
85,TEST-85,95
86,TEST-86,3
87,TEST-87,21
88,TEST-88,93
89,TEST-89,66
90,TEST-90,100
91,TEST-91,88
92,TEST-92,68
93,TEST-93,57
94,TEST-94,28
95,TEST-95,51
96,TEST-96,1
97,TEST-97,67
98,TEST-98,35
99,TEST-99,48
100,TEST-100,80
101,TEST-101,50
102,TEST-102,75
103,TEST-103,34
104,TEST-104,93
105,TEST-105,84
106,TEST-106,37
107,TEST-107,83
108,TEST-108,77
109,TEST-109,32
110,TEST-110,47
111,TEST-111,82
112,TEST-112,6
113,TEST-113,55
114,TEST-114,63
115,TEST-115,79
116,TEST-116,22
117,TEST-117,41
118,TEST-118,98
119,TEST-119,95
120,TEST-120,2
121,TEST-121,3
122,TEST-122,84
123,TEST-123,5
124,TEST-124,8
125,TEST-125,61
126,TEST-126,28
127,TEST-127,60
128,TEST-128,43
129,TEST-129,79
130,TEST-130,44
131,TEST-131,91
132,TEST-132,67
133,TEST-133,51
134,TEST-134,87
135,TEST-135,32
136,TEST-136,2
137,TEST-137,91
138,TEST-138,86
139,TEST-139,71
140,TEST-140,24
141,TEST-141,27
142,TEST-142,79
143,TEST-143,83
